Robert A.|Hurley|Robert-A-Hurley@chai.com|RobertAHurley|
Reginald Le|Borg|Reginald-Le-Borg@chai.com|ReginaldLeBorg|
Richard J.|Durrell|Richard-J-Durrell@chai.com|RichardJDurrell|
Walter W.|Bregman|Walter-W-Bregman@chai.com|WalterWBregman|
David P.|Spalding|David-P-Spalding@chai.com|DavidPSpalding|
William R.|Howell|William-R-Howell@chai.com|WilliamRHowell|
Frederick Arthur|Stanley|Frederick-Arthur-Stanley@chai.com|FrederickArthurStanley|
Andrew V.|McLaglen|Andrew-V-McLaglen@chai.com|AndrewVMcLaglen|
Jerry W.|Levin|Jerry-W-Levin@chai.com|JerryWLevin|
Michael T.|Cowhig|Michael-T-Cowhig@chai.com|MichaelTCowhig|
John R.|Egan|John-R-Egan@chai.com|JohnREgan|
David H.|Martin|David-H-Martin@chai.com|DavidHMartin|
David Patrick|Kelly|David-Patrick-Kelly@chai.com|DavidPatrickKelly|
Louis E.|Lataif|Louis-E-Lataif@chai.com|LouisELataif|
Jackie M.|Ward|Jackie-M-Ward@chai.com|JackieMWard|
Earl G.|Graves|Earl-G-Graves@chai.com|EarlGGraves|
Stephen G.|Thieke|Stephen-G-Thieke@chai.com|StephenGThieke|
Daniel W.|Bell|Daniel-W-Bell@chai.com|DanielWBell|
Mamie Van|Doren|Mamie-Van-Doren@chai.com|MamieVanDoren|
Richard C.|Brown|Richard-C-Brown@chai.com|RichardCBrown|
Melville W.|Fuller|Melville-W-Fuller@chai.com|MelvilleWFuller|
John C.|Porter|John-C-Porter@chai.com|JohnCPorter|
Long John|Baldry|Long-John-Baldry@chai.com|LongJohnBaldry|
Janet M.|Dolan|Janet-M-Dolan@chai.com|JanetMDolan|
Pamela B.|Strobel|Pamela-B-Strobel@chai.com|PamelaBStrobel|
Loy W.|Henderson|Loy-W-Henderson@chai.com|LoyWHenderson|
John B.|Peatman|John-B-Peatman@chai.com|JohnBPeatman|
Samuel Eliot|Morison|Samuel-Eliot-Morison@chai.com|SamuelEliotMorison|
Debra A.|Livingston|Debra-A-Livingston@chai.com|DebraALivingston|
Sam K.|Duncan|Sam-K-Duncan@chai.com|SamKDuncan|
Lurita Alexis|Doan|Lurita-Alexis-Doan@chai.com|LuritaAlexisDoan|
Robert E.|Patricelli|Robert-E-Patricelli@chai.com|RobertEPatricelli|
Alan H.|Fishman|Alan-H-Fishman@chai.com|AlanHFishman|
Kimberly A.|Casiano|Kimberly-A-Casiano@chai.com|KimberlyACasiano|
Adrian A.|Basora|Adrian-A-Basora@chai.com|AdrianABasora|
Dennis W.|Carlton|Dennis-W-Carlton@chai.com|DennisWCarlton|
Deborah J.|Lucas|Deborah-J-Lucas@chai.com|DeborahJLucas|
Michael A.|Friedman|Michael-A-Friedman@chai.com|MichaelAFriedman|
Kwame Anthony|Appiah|Kwame-Anthony-Appiah@chai.com|KwameAnthonyAppiah|
Richard W.|Frost|Richard-W-Frost@chai.com|RichardWFrost|
Melvin O.|Wright|Melvin-O-Wright@chai.com|MelvinOWright|
John G.|Avildsen|John-G-Avildsen@chai.com|JohnGAvildsen|
Thomas O.|Ryder|Thomas-O-Ryder@chai.com|ThomasORyder|
Carlo Maria|Giulini|Carlo-Maria-Giulini@chai.com|CarloMariaGiulini|
Thomas W.|Lamont|Thomas-W-Lamont@chai.com|ThomasWLamont|
Alexis P.|Michas|Alexis-P-Michas@chai.com|AlexisPMichas|
Gerald B. H.|Solomon|Gerald-B-H-Solomon@chai.com|GeraldBHSolomon|
James H.|Ross|James-H-Ross@chai.com|JamesHRoss|
Thomas P.|Stafford|Thomas-P-Stafford@chai.com|ThomasPStafford|
Solomon D.|Trujillo|Solomon-D-Trujillo@chai.com|SolomonDTrujillo|
Adrian M.|Tocklin|Adrian-M-Tocklin@chai.com|AdrianMTocklin|
Thomas M.|Murnane|Thomas-M-Murnane@chai.com|ThomasMMurnane|
Louis Gabriel|Suchet|Louis-Gabriel-Suchet@chai.com|LouisGabrielSuchet|
Oscar S.|Straus|Oscar-S-Straus@chai.com|OscarSStraus|
Ragnvald A.|Nestos|Ragnvald-A-Nestos@chai.com|RagnvaldANestos|
Steven B.|Sample|Steven-B-Sample@chai.com|StevenBSample|
Michael W.|Ranger|Michael-W-Ranger@chai.com|MichaelWRanger|
Frederick G.|Banting|Frederick-G-Banting@chai.com|FrederickGBanting|
Roger A.|Young|Roger-A-Young@chai.com|RogerAYoung|
Marquis de|Condorcet|Marquis-de-Condorcet@chai.com|MarquisdeCondorcet|
Michael A.|Brown|Michael-A-Brown@chai.com|MichaelABrown|
Karel Van|Miert|Karel-Van-Miert@chai.com|KarelVanMiert|
Roderick M.|Hills|Roderick-M-Hills@chai.com|RoderickMHills|
Joel V.|Staff|Joel-V-Staff@chai.com|JoelVStaff|
James S.|McDonnell|James-S-McDonnell@chai.com|JamesSMcDonnell|
George Moses|Horton|George-Moses-Horton@chai.com|GeorgeMosesHorton|
Betsy J.|Bernard|Betsy-J-Bernard@chai.com|BetsyJBernard|
William G.|McAdoo|William-G-McAdoo@chai.com|WilliamGMcAdoo|
Stephen D.|Solomon|Stephen-D-Solomon@chai.com|StephenDSolomon|
Stephen F.|Gates|Stephen-F-Gates@chai.com|StephenFGates|
John B.|Fenn|John-B-Fenn@chai.com|JohnBFenn|
Downtown Julie|Brown|Downtown-Julie-Brown@chai.com|DowntownJulieBrown|
Clifford W.|Taylor|Clifford-W-Taylor@chai.com|CliffordWTaylor|
Brian D.|Curran|Brian-D-Curran@chai.com|BrianDCurran|
William Kennedy|Smith|William-Kennedy-Smith@chai.com|WilliamKennedySmith|
Patricia Diaz|Dennis|Patricia-Diaz-Dennis@chai.com|PatriciaDiazDennis|
James M.|Johnson|James-M-Johnson@chai.com|JamesMJohnson|
Joyce Van|Patten|Joyce-Van-Patten@chai.com|JoyceVanPatten|
Marion B.|Folsom|Marion-B-Folsom@chai.com|MarionBFolsom|
James P.|Breslawski|James-P-Breslawski@chai.com|JamesPBreslawski|
Robert D.|Rucker|Robert-D-Rucker@chai.com|RobertDRucker|
Hans Daniel|Hassenpflug|Hans-Daniel-Hassenpflug@chai.com|HansDanielHassenpflug|
Richard W.|Boyce|Richard-W-Boyce@chai.com|RichardWBoyce|
Philip Michael|Thomas|Philip-Michael-Thomas@chai.com|PhilipMichaelThomas|
Aage N.|Bohr|Aage-N-Bohr@chai.com|AageNBohr|
Christopher A.|Sims|Christopher-A-Sims@chai.com|ChristopherASims|
Richard A.|Fennessy|Richard-A-Fennessy@chai.com|RichardAFennessy|
Richard C.|Gozon|Richard-C-Gozon@chai.com|RichardCGozon|
Michael W.|McConnell|Michael-W-McConnell@chai.com|MichaelWMcConnell|
Henry T.|Nicholas|Henry-T-Nicholas@chai.com|HenryTNicholas|
Sir Richard|Grenville|Sir-Richard-Grenville@chai.com|SirRichardGrenville|
Sir William|Cubitt|Sir-William-Cubitt@chai.com|SirWilliamCubitt|
John Ross|Bowie|John-Ross-Bowie@chai.com|JohnRossBowie|
Michael E.|Capuano|Michael-E-Capuano@chai.com|MichaelECapuano|
Rex W.|Tillerson|Rex-W-Tillerson@chai.com|RexWTillerson|
Isaac da|Costa|Isaac-da-Costa@chai.com|IsaacdaCosta|
John Anthony|Burns|John-Anthony-Burns@chai.com|JohnAnthonyBurns|
Orlando di|Lasso|Orlando-di-Lasso@chai.com|OrlandodiLasso|
Melvin J.|Lasky|Melvin-J-Lasky@chai.com|MelvinJLasky|
Anthony Cardinal|Bevilacqua|Anthony-Cardinal-Bevilacqua@chai.com|AnthonyCardinalBevilacqua|
William A.|Owens|William-A-Owens@chai.com|WilliamAOwens|
Ralph J.|Roberts|Ralph-J-Roberts@chai.com|RalphJRoberts|
Robert W.|Anderson|Robert-W-Anderson@chai.com|RobertWAnderson|
Frank J.|McKenna|Frank-J-McKenna@chai.com|FrankJMcKenna|
William W.|McGuire|William-W-McGuire@chai.com|WilliamWMcGuire|
Deborah S.|Coleman|Deborah-S-Coleman@chai.com|DeborahSColeman|
Douglas L.|Maine|Douglas-L-Maine@chai.com|DouglasLMaine|
Jack P.|Reid|Jack-P-Reid@chai.com|JackPReid|
John Marshall|Butler|John-Marshall-Butler@chai.com|JohnMarshallButler|
Bide L.|Thomas|Bide-L-Thomas@chai.com|BideLThomas|
Mark D.|Siljander|Mark-D-Siljander@chai.com|MarkDSiljander|
Richard A.|Cogdill|Richard-A-Cogdill@chai.com|RichardACogdill|
Duane E.|Zitzner|Duane-E-Zitzner@chai.com|DuaneEZitzner|
James Clement|Dunn|James-Clement-Dunn@chai.com|JamesClementDunn|
Alvah C.|Roebuck|Alvah-C-Roebuck@chai.com|AlvahCRoebuck|
Jeffrey L.|Bewkes|Jeffrey-L-Bewkes@chai.com|JeffreyLBewkes|
Ronald L.|Sargent|Ronald-L-Sargent@chai.com|RonaldLSargent|
Warren G.|Magnuson|Warren-G-Magnuson@chai.com|WarrenGMagnuson|
William Jay|Gaynor|William-Jay-Gaynor@chai.com|WilliamJayGaynor|
Paul X.|Kelley|Paul-X-Kelley@chai.com|PaulXKelley|
Ivan Osipovich|Yarkovsky|Ivan-Osipovich-Yarkovsky@chai.com|IvanOsipovichYarkovsky|
Frederick B.|Whittemore|Frederick-B-Whittemore@chai.com|FrederickBWhittemore|
Sally Jessy|Raphael|Sally-Jessy-Raphael@chai.com|SallyJessyRaphael|
Steven C.|Beering|Steven-C-Beering@chai.com|StevenCBeering|
Orlow W.|Chapman|Orlow-W-Chapman@chai.com|OrlowWChapman|
James D.|Thornton|James-D-Thornton@chai.com|JamesDThornton|
Stephen P.|Munn|Stephen-P-Munn@chai.com|StephenPMunn|
George Edmund|Street|George-Edmund-Street@chai.com|GeorgeEdmundStreet|
Eli S.|Jacobs|Eli-S-Jacobs@chai.com|EliSJacobs|
Kenneth P.|Kopelman|Kenneth-P-Kopelman@chai.com|KennethPKopelman|
Erik Axel|Karlfeldt|Erik-Axel-Karlfeldt@chai.com|ErikAxelKarlfeldt|
Konrad von|Gesner|Konrad-von-Gesner@chai.com|KonradvonGesner|
David H.|Wasserman|David-H-Wasserman@chai.com|DavidHWasserman|
Lawrence D.|Fink|Lawrence-D-Fink@chai.com|LawrenceDFink|
Marc D.|Hamburg|Marc-D-Hamburg@chai.com|MarcDHamburg|
John J.|Roberts|John-J-Roberts@chai.com|JohnJRoberts|
George F.|Kennan|George-F-Kennan@chai.com|GeorgeFKennan|
Lester L.|Lyles|Lester-L-Lyles@chai.com|LesterLLyles|
Henry de|Bracton|Henry-de-Bracton@chai.com|HenrydeBracton|
Robert S.|Ingersoll|Robert-S-Ingersoll@chai.com|RobertSIngersoll|
Cassius Marcellus|Coolidge|Cassius-Marcellus-Coolidge@chai.com|CassiusMarcellusCoolidge|
Truman B.|Douglass|Truman-B-Douglass@chai.com|TrumanBDouglass|
Donald J.|Tomnitz|Donald-J-Tomnitz@chai.com|DonaldJTomnitz|
Michael J.|Sabia|Michael-J-Sabia@chai.com|MichaelJSabia|
Joe M.|Rodgers|Joe-M-Rodgers@chai.com|JoeMRodgers|
Douglas R.|Lebda|Douglas-R-Lebda@chai.com|DouglasRLebda|
Mary Stuart|Masterson|Mary-Stuart-Masterson@chai.com|MaryStuartMasterson|
Robert J.|Brown|Robert-J-Brown@chai.com|RobertJBrown|
Murray D.|Martin|Murray-D-Martin@chai.com|MurrayDMartin|
Robert S.|Kapito|Robert-S-Kapito@chai.com|RobertSKapito|
Evelyn De|Morgan|Evelyn-De-Morgan@chai.com|EvelynDeMorgan|
Albert L.|Lord|Albert-L-Lord@chai.com|AlbertLLord|
Rita B.|Garman|Rita-B-Garman@chai.com|RitaBGarman|
Craig R.|Smith|Craig-R-Smith@chai.com|CraigRSmith|
Philip N.|Duff|Philip-N-Duff@chai.com|PhilipNDuff|
Anthony G.|Wagner|Anthony-G-Wagner@chai.com|AnthonyGWagner|
Mary Jo|Kopechne|Mary-Jo-Kopechne@chai.com|MaryJoKopechne|
Clifford J.|Grum|Clifford-J-Grum@chai.com|CliffordJGrum|
Pamela L.|Carter|Pamela-L-Carter@chai.com|PamelaLCarter|
Arnold J.|Levine|Arnold-J-Levine@chai.com|ArnoldJLevine|
Steven J.|Malcolm|Steven-J-Malcolm@chai.com|StevenJMalcolm|
Roy E.|Disney|Roy-E-Disney@chai.com|RoyEDisney|
Louis B.|Susman|Louis-B-Susman@chai.com|LouisBSusman|
John L.|Clendenin|John-L-Clendenin@chai.com|JohnLClendenin|
Patricia Roberts|Harris|Patricia-Roberts-Harris@chai.com|PatriciaRobertsHarris|
Harriett Tee|Taggart|Harriett-Tee-Taggart@chai.com|HarriettTeeTaggart|
Gary S.|Becker|Gary-S-Becker@chai.com|GarySBecker|
John A.|Elston|John-A-Elston@chai.com|JohnAElston|
Mary Roberts|Rinehart|Mary-Roberts-Rinehart@chai.com|MaryRobertsRinehart|
Robert W.|Mann|Robert-W-Mann@chai.com|RobertWMann|
Adolfo Bioy|Casares|Adolfo-Bioy-Casares@chai.com|AdolfoBioyCasares|
James C.|Momtazee|James-C-Momtazee@chai.com|JamesCMomtazee|
Joe Lo|Truglio|Joe-Lo-Truglio@chai.com|JoeLoTruglio|
Robert Sean|Leonard|Robert-Sean-Leonard@chai.com|RobertSeanLeonard|
George Washington|Owen|George-Washington-Owen@chai.com|GeorgeWashingtonOwen|
Harold R.|Swearer|Harold-R-Swearer@chai.com|HaroldRSwearer|
William J.|Pulte|William-J-Pulte@chai.com|WilliamJPulte|
William H.|Carter|William-H-Carter@chai.com|WilliamHCarter|
George S.|Brown|George-S-Brown@chai.com|GeorgeSBrown|
Beryl W.|Sprinkel|Beryl-W-Sprinkel@chai.com|BerylWSprinkel|
George W.|Buckley|George-W-Buckley@chai.com|GeorgeWBuckley|
Richard Joshua|Reynolds|Richard-Joshua-Reynolds@chai.com|RichardJoshuaReynolds|
Robert C.|Krueger|Robert-C-Krueger@chai.com|RobertCKrueger|
Henry Lee|Lucas|Henry-Lee-Lucas@chai.com|HenryLeeLucas|
James E.|Rogers|James-E-Rogers@chai.com|JamesERogers|
Callum Keith|Rennie|Callum-Keith-Rennie@chai.com|CallumKeithRennie|
William J.|Avery|William-J-Avery@chai.com|WilliamJAvery|
William R.|Granberry|William-R-Granberry@chai.com|WilliamRGranberry|
Gordon R.|England|Gordon-R-England@chai.com|GordonREngland|
Deborah D.|Rieman|Deborah-D-Rieman@chai.com|DeborahDRieman|
Bob L.|Martin|Bob-L-Martin@chai.com|BobLMartin|
David G.|Scholey|David-G-Scholey@chai.com|DavidGScholey|
John Edward|Porter|John-Edward-Porter@chai.com|JohnEdwardPorter|
Craig T.|Nelson|Craig-T-Nelson@chai.com|CraigTNelson|
Merit E.|Janow|Merit-E-Janow@chai.com|MeritEJanow|
Catherine Mary|Stewart|Catherine-Mary-Stewart@chai.com|CatherineMaryStewart|
John M.|Bremer|John-M-Bremer@chai.com|JohnMBremer|
Barbara M.|Barrett|Barbara-M-Barrett@chai.com|BarbaraMBarrett|
Jacob H.|Gilbert|Jacob-H-Gilbert@chai.com|JacobHGilbert|
Robert C.|Murray|Robert-C-Murray@chai.com|RobertCMurray|
Clifford G.|Shull|Clifford-G-Shull@chai.com|CliffordGShull|
Douglas K.|Ammerman|Douglas-K-Ammerman@chai.com|DouglasKAmmerman|
Robert S.|Smith|Robert-S-Smith@chai.com|RobertSSmith|
Douglas Stuart|Moore|Douglas-Stuart-Moore@chai.com|DouglasStuartMoore|
Homer S.|Ferguson|Homer-S-Ferguson@chai.com|HomerSFerguson|
Vivian M.|Stephenson|Vivian-M-Stephenson@chai.com|VivianMStephenson|
Randall M.|Fort|Randall-M-Fort@chai.com|RandallMFort|
Stephen H.|Anderson|Stephen-H-Anderson@chai.com|StephenHAnderson|
Anne Sutherland|Fuchs|Anne-Sutherland-Fuchs@chai.com|AnneSutherlandFuchs|
Alan D.|Solomont|Alan-D-Solomont@chai.com|AlanDSolomont|
Ernest J.|Moniz|Ernest-J-Moniz@chai.com|ErnestJMoniz|
Louis St.|Laurent|Louis-St-Laurent@chai.com|LouisStLaurent|
Donna A.|Tanoue|Donna-A-Tanoue@chai.com|DonnaATanoue|
Bruce S.|Chelberg|Bruce-S-Chelberg@chai.com|BruceSChelberg|
Tom Everett|Scott|Tom-Everett-Scott@chai.com|TomEverettScott|
Lucius Q. C.|Lamar|Lucius-Q-C-Lamar@chai.com|LuciusQCLamar|
Robert B.|Leighton|Robert-B-Leighton@chai.com|RobertBLeighton|
Henry A.|Grunwald|Henry-A-Grunwald@chai.com|HenryAGrunwald|
Torsten N.|Wiesel|Torsten-N-Wiesel@chai.com|TorstenNWiesel|
Richard K.|Morgan|Richard-K-Morgan@chai.com|RichardKMorgan|
John S.|Monagan|John-S-Monagan@chai.com|JohnSMonagan|
Moses E.|Kiley|Moses-E-Kiley@chai.com|MosesEKiley|
Edwin C.|Gage|Edwin-C-Gage@chai.com|EdwinCGage|
Robert M.|Furek|Robert-M-Furek@chai.com|RobertMFurek|
Jean Kennedy|Smith|Jean-Kennedy-Smith@chai.com|JeanKennedySmith|
Christina of|Sweden|Christina-of-Sweden@chai.com|ChristinaofSweden|
Richard W.|Colf|Richard-W-Colf@chai.com|RichardWColf|
Allen U.|Lenzmeier|Allen-U-Lenzmeier@chai.com|AllenULenzmeier|
Klas Pontus|Arnoldson|Klas-Pontus-Arnoldson@chai.com|KlasPontusArnoldson|
Alex Van|Halen|Alex-Van-Halen@chai.com|AlexVanHalen|
Jerry L.|Jordan|Jerry-L-Jordan@chai.com|JerryLJordan|
Mary K.|Bush|Mary-K-Bush@chai.com|MaryKBush|
Vernon E.|Oechsle|Vernon-E-Oechsle@chai.com|VernonEOechsle|
Michael H.|Thaman|Michael-H-Thaman@chai.com|MichaelHThaman|
James J.|Casey|James-J-Casey@chai.com|JamesJCasey|
Robert G.|McKenzie|Robert-G-McKenzie@chai.com|RobertGMcKenzie|
Charles R.|Robertson|Charles-R-Robertson@chai.com|CharlesRRobertson|
Robert L.|Wright|Robert-L-Wright@chai.com|RobertLWright|
Frank A.|Barrett|Frank-A-Barrett@chai.com|FrankABarrett|
John C.|Whitehead|John-C-Whitehead@chai.com|JohnCWhitehead|
James T.|Laney|James-T-Laney@chai.com|JamesTLaney|
Joseph S.|Farland|Joseph-S-Farland@chai.com|JosephSFarland|
Thomas H.|O'Brien|Thomas-H-O'Brien@chai.com|ThomasHO'Brien|
Willem P.|Roelandts|Willem-P-Roelandts@chai.com|WillemPRoelandts|
Bruce R.|Lakefield|Bruce-R-Lakefield@chai.com|BruceRLakefield|
Ruth Ann|Minner|Ruth-Ann-Minner@chai.com|RuthAnnMinner|
Margaret F. C.|Chan|Margaret-F-C-Chan@chai.com|MargaretFCChan|
Michael A.|Henning|Michael-A-Henning@chai.com|MichaelAHenning|
James Harvey|Robinson|James-Harvey-Robinson@chai.com|JamesHarveyRobinson|
Arnold A.|Allemang|Arnold-A-Allemang@chai.com|ArnoldAAllemang|
Curtis F.|Feeny|Curtis-F-Feeny@chai.com|CurtisFFeeny|
Thomas J.|Moyer|Thomas-J-Moyer@chai.com|ThomasJMoyer|
George A.|Krol|George-A-Krol@chai.com|GeorgeAKrol|
Grant H.|Beard|Grant-H-Beard@chai.com|GrantHBeard|
Gary W.|Edwards|Gary-W-Edwards@chai.com|GaryWEdwards|
Philip Van Doren|Stern|Philip-Van-Doren-Stern@chai.com|PhilipVanDorenStern|
James M.|Derham|James-M-Derham@chai.com|JamesMDerham|
Earl J.|Hesterberg|Earl-J-Hesterberg@chai.com|EarlJHesterberg|
David A.|Reed|David-A-Reed@chai.com|DavidAReed|
Dawn E.|Hudson|Dawn-E-Hudson@chai.com|DawnEHudson|
John W.|Troy|John-W-Troy@chai.com|JohnWTroy|
Chris A.|Davis|Chris-A-Davis@chai.com|ChrisADavis|
John A.|Fees|John-A-Fees@chai.com|JohnAFees|
Jigme Khesar Namgyal|Wangchuck|Jigme-Khesar-Namgyal-Wangchuck@chai.com|JigmeKhesarNamgyalWangchuck|
Charles F.|Brannan|Charles-F-Brannan@chai.com|CharlesFBrannan|
Karen Hastie|Williams|Karen-Hastie-Williams@chai.com|KarenHastieWilliams|
Kay Coles|James|Kay-Coles-James@chai.com|KayColesJames|
John Peter|Altgeld|John-Peter-Altgeld@chai.com|JohnPeterAltgeld|
Sir Leslie|Stephen|Sir-Leslie-Stephen@chai.com|SirLeslieStephen|
Helen Delich|Bentley|Helen-Delich-Bentley@chai.com|HelenDelichBentley|
Kenneth P.|Moritsugu|Kenneth-P-Moritsugu@chai.com|KennethPMoritsugu|
Harold H.|Burton|Harold-H-Burton@chai.com|HaroldHBurton|
Wrong Way|Corrigan|Wrong-Way-Corrigan@chai.com|WrongWayCorrigan|
David N.|Cicilline|David-N-Cicilline@chai.com|DavidNCicilline|
Daniel P.|Kearney|Daniel-P-Kearney@chai.com|DanielPKearney|
John V.|Tunney|John-V-Tunney@chai.com|JohnVTunney|
James A.|Johnson|James-A-Johnson@chai.com|JamesAJohnson|
William D.|Mitchell|William-D-Mitchell@chai.com|WilliamDMitchell|
David M.|Ransom|David-M-Ransom@chai.com|DavidMRansom|
John H.|Trumbull|John-H-Trumbull@chai.com|JohnHTrumbull|
John R.|Dawson|John-R-Dawson@chai.com|JohnRDawson|
Evan Griffith|Galbraith|Evan-Griffith-Galbraith@chai.com|EvanGriffithGalbraith|
Brenda J.|Lauderback|Brenda-J-Lauderback@chai.com|BrendaJLauderback|
